N,m,Method,rejection_rate
359,5,PCA,0.1
359,5,Regression,0.08
359,5,Spatial Average,0.06
359,10,CCA,0.12
359,10,Composites,0.1
359,10,GPCA,0.06
359,10,PCA,0.06
359,10,Regression,0.12
359,10,Spatial Average,0.02
359,15,CCA,0.3
359,15,Composites,0.14
359,15,GPCA,0.18
359,15,PCA,0.04
359,15,Regression,0.12
359,15,Spatial Average,0.06
359,30,CCA,0.42
359,30,Composites,0.1
359,30,GPCA,0.22
359,30,PCA,0.04
359,30,Regression,0.14
359,30,Spatial Average,0.04
359,55,CCA,0.44
359,55,Composites,0.12
359,55,GPCA,0.6
359,55,PCA,0.04
359,55,Regression,0.12
359,55,Spatial Average,0.04
359,95,CCA,0.56
359,95,Composites,0.04
359,95,GPCA,0.78
359,95,PCA,0.04
359,95,Regression,0.12
359,95,Spatial Average,0.04
359,170,CCA,0.42
359,170,Composites,0.14
359,170,GPCA,0.82
359,170,PCA,0.0
359,170,Regression,0.12
359,170,Spatial Average,0.0
359,310,CCA,0.1
359,310,Composites,0.1
359,310,GPCA,0.94
359,310,PCA,0.06
359,310,Regression,0.08
359,310,Spatial Average,0.06
359,555,CCA,0.74
359,555,Composites,0.02
359,555,GPCA,0.94
359,555,PCA,0.02
359,555,Regression,0.04
359,555,Spatial Average,0.02
359,1000,CCA,1.0
359,1000,Composites,0.1
359,1000,GPCA,1.0
359,1000,PCA,0.06
359,1000,Regression,0.12
359,1000,Spatial Average,0.04
464,5,CCA,0.1
464,5,Composites,0.14
464,5,GPCA,0.04
464,5,PCA,0.06
464,5,Regression,0.14
464,5,Spatial Average,0.04
464,10,CCA,0.18
464,10,Composites,0.02
464,10,GPCA,0.22
464,10,PCA,0.04
464,10,Regression,0.08
464,10,Spatial Average,0.06
464,15,CCA,0.34
464,15,Composites,0.04
464,15,GPCA,0.34
464,15,PCA,0.08
464,15,Regression,0.04
464,15,Spatial Average,0.1
464,30,CCA,0.52
464,30,Composites,0.1
464,30,GPCA,0.4
464,30,PCA,0.08
464,30,Regression,0.08
464,30,Spatial Average,0.08
464,55,CCA,0.76
464,55,Composites,0.08
464,55,GPCA,0.86
464,55,PCA,0.08
464,55,Regression,0.12
464,55,Spatial Average,0.12
464,95,CCA,0.82
464,95,Composites,0.06
464,95,GPCA,0.98
464,95,PCA,0.04
464,95,Regression,0.12
464,95,Spatial Average,0.02
464,170,CCA,0.74
464,170,Composites,0.14
464,170,GPCA,0.98
464,170,PCA,0.12
464,170,Regression,0.24
464,170,Spatial Average,0.1
464,310,CCA,0.26
464,310,Composites,0.14
464,310,GPCA,1.0
464,310,PCA,0.02
464,310,Regression,0.16
464,310,Spatial Average,0.04
464,555,CCA,0.8
464,555,Composites,0.12
464,555,GPCA,1.0
464,555,PCA,0.02
464,555,Regression,0.1
464,555,Spatial Average,0.04
464,1000,CCA,0.98
464,1000,Composites,0.14
464,1000,GPCA,1.0
464,1000,PCA,0.04
464,1000,Regression,0.12
464,1000,Spatial Average,0.04
599,5,CCA,0.34
599,5,Composites,0.18
599,5,GPCA,0.28
599,5,PCA,0.1
599,5,Regression,0.16
599,5,Spatial Average,0.1
599,10,CCA,0.26
599,10,Composites,0.16
599,10,GPCA,0.36
599,10,PCA,0.06
599,10,Regression,0.18
599,10,Spatial Average,0.1
599,15,CCA,0.44
599,15,Composites,0.1
599,15,GPCA,0.3
599,15,PCA,0.1
599,15,Regression,0.08
599,15,Spatial Average,0.1
599,30,CCA,0.64
599,30,Composites,0.14
599,30,GPCA,0.42
599,30,PCA,0.08
599,30,Regression,0.12
599,30,Spatial Average,0.06
599,55,CCA,0.82
599,55,Composites,0.18
599,55,GPCA,0.94
599,55,PCA,0.08
599,55,Regression,0.14
599,55,Spatial Average,0.04
599,95,CCA,0.86
599,95,Composites,0.16
599,95,GPCA,0.92
599,95,PCA,0.12
599,95,Regression,0.26
599,95,Spatial Average,0.14
599,170,CCA,0.9
599,170,Composites,0.18
599,170,GPCA,1.0
599,170,PCA,0.16
599,170,Regression,0.2
599,170,Spatial Average,0.16
599,310,CCA,0.9
599,310,Composites,0.2
599,310,GPCA,1.0
599,310,PCA,0.06
599,310,Regression,0.16
599,310,Spatial Average,0.06
599,555,CCA,0.52
599,555,Composites,0.22
599,555,GPCA,1.0
599,555,PCA,0.02
599,555,Regression,0.12
599,555,Spatial Average,0.04
599,1000,CCA,1.0
599,1000,Composites,0.18
599,1000,GPCA,1.0
599,1000,PCA,0.06
599,1000,Regression,0.24
599,1000,Spatial Average,0.06
774,5,CCA,0.2
774,5,Composites,0.12
774,5,GPCA,0.26
774,5,PCA,0.04
774,5,Regression,0.1
774,5,Spatial Average,0.06
774,10,CCA,0.38
774,10,Composites,0.08
774,10,GPCA,0.4
774,10,PCA,0.04
774,10,Regression,0.08
774,10,Spatial Average,0.0
774,15,CCA,0.46
774,15,Composites,0.14
774,15,GPCA,0.42
774,15,PCA,0.14
774,15,Regression,0.18
774,15,Spatial Average,0.12
774,30,CCA,0.84
774,30,Composites,0.14
774,30,GPCA,0.72
774,30,PCA,0.08
774,30,Regression,0.08
774,30,Spatial Average,0.04
774,55,CCA,0.92
774,55,Composites,0.2
774,55,GPCA,1.0
774,55,PCA,0.08
774,55,Regression,0.22
774,55,Spatial Average,0.08
774,95,CCA,0.96
774,95,Composites,0.2
774,95,GPCA,1.0
774,95,PCA,0.14
774,95,Regression,0.2
774,95,Spatial Average,0.12
774,170,CCA,1.0
774,170,Composites,0.3
774,170,GPCA,1.0
774,170,PCA,0.06
774,170,Regression,0.3
774,170,Spatial Average,0.08
774,310,CCA,0.98
774,310,Composites,0.22
774,310,GPCA,1.0
774,310,PCA,0.14
774,310,Regression,0.2
774,310,Spatial Average,0.14
774,555,CCA,0.72
774,555,Composites,0.3
774,555,GPCA,1.0
774,555,PCA,0.08
774,555,Regression,0.34
774,555,Spatial Average,0.1
774,1000,CCA,1.0
774,1000,Composites,0.26
774,1000,GPCA,1.0
774,1000,PCA,0.06
774,1000,Regression,0.22
774,1000,Spatial Average,0.02
1000,5,CCA,0.36
1000,5,Composites,0.2
1000,5,GPCA,0.38
1000,5,PCA,0.1
1000,5,Regression,0.14
1000,5,Spatial Average,0.06
1000,10,CCA,0.6
1000,10,Composites,0.2
1000,10,GPCA,0.32
1000,10,PCA,0.16
1000,10,Regression,0.22
1000,10,Spatial Average,0.14
1000,15,CCA,0.78
1000,15,Composites,0.3
1000,15,GPCA,0.62
1000,15,PCA,0.12
1000,15,Regression,0.34
1000,15,Spatial Average,0.12
1000,30,CCA,0.92
1000,30,Composites,0.32
1000,30,GPCA,0.54
1000,30,PCA,0.14
1000,30,Regression,0.36
1000,30,Spatial Average,0.14
1000,55,CCA,1.0
1000,55,Composites,0.34
1000,55,GPCA,0.96
1000,55,PCA,0.12
1000,55,Regression,0.38
1000,55,Spatial Average,0.12
1000,95,CCA,1.0
1000,95,Composites,0.38
1000,95,GPCA,0.98
1000,95,PCA,0.06
1000,95,Regression,0.42
1000,95,Spatial Average,0.16
1000,170,CCA,1.0
1000,170,Composites,0.4
1000,170,GPCA,1.0
1000,170,PCA,0.06
1000,170,Regression,0.46
1000,170,Spatial Average,0.12
1000,310,CCA,1.0
1000,310,Composites,0.44
1000,310,GPCA,1.0
1000,310,PCA,0.16
1000,310,Regression,0.44
1000,310,Spatial Average,0.18
1000,555,CCA,1.0
1000,555,Composites,0.42
1000,555,GPCA,1.0
1000,555,PCA,0.06
1000,555,Regression,0.36
1000,555,Spatial Average,0.1
1000,1000,CCA,0.96
1000,1000,Composites,0.48
1000,1000,GPCA,1.0
1000,1000,PCA,0.12
1000,1000,Regression,0.48
1000,1000,Spatial Average,0.16
